start	end	text
0	16000	And now at one hour at this time, I now have one hour and 21 minutes, and I am observing John's fireflies drifting away from me.
16000	38000	I can observe them sort of a departing from the spacecraft and drifting out to the rear. I can see some of them a considerable distance out to the rear.
46000	53000	The sun is coming up behind me. I am beginning to get the glow on the clouds.
67000	74000	Fireflies appear to be white. Very whitish, almost a green like rail fireflies.
76000	81000	I think that's all we've been able to harvest at the graduate point which goes 1,000 by 2.7 million miles away from me.
83000	86000	More light updates have been.
87000	101000	Feedback gives me a lot of energy perspective.
102000	105000	Finance relations.
105000	112000	Clouds on the Earth below are changing color, are getting quite light.
135000	164000	I am now on the day side, the sun is not yet quite up, and I am in the middle of the day side.
164000	179000	And I am observing stars. The Earth is light below me, the sun is still behind me, the sky looks dark above me, and I can see stars very distinctly.
