start	end	text
0	10000	Again, the areas in black are the total area covered which we obtained from the mission,
10000	18000	and the areas in red are the pieces which we missed due to the deletion of the plane change
18000	21000	and the day early return.
21000	27000	This little piece down here was a oblique pass which we had planned with the pan camera.
27000	32000	It would have taken place on Rev 72 in order to get photographs of Jacendi,
32000	37000	which is an area of particular interest to the geology.
37000	40000	So you can see that we did lose some data.
40000	45000	On the other hand, we did pick up some data that we would not have gotten,
45000	54000	and I think overall the effectiveness of the coverage was about 90% of what we had hoped for pre-mission.
54000	62000	I really want to express the thanks of the photo team to the flight planners here
62000	67000	and also to Ken for his operation of the cameras during the mission.
67000	73000	I know that it was very confusing to be continually changing the flight plan
73000	78000	and Ken probably wondered what the hell we were doing with all these on-offs and so on.
78000	90000	But really I think we did a very effective job of recovering almost all of the data that we had planned for the mission.
90000	95000	May I have the next slide, please?
95000	101000	This is a diagram showing what the Apollo 15 coverage was like.
101000	105000	This is the planned coverage for the 16 mission,
105000	109000	and in the dotted line is the planned coverage for the 17 mission.
109000	115000	The only reason I show this is to indicate that the areas where we did lose data, unfortunately,
115000	123000	are in the areas that were not covered by 15 and will not be covered by 17,
123000	127000	so that the losses, although small, were real.
127000	130000	May I have the next slide?
130000	138000	Ken, during the film recovery EVA, you reported that the stellar camera glare shield was hung up on the handrail.
138000	144000	I'm not 100% clear as to exactly what that situation was.
144000	147000	This is the stellar camera glare shield,
147000	153000	and this is a little cover that comes down and covers that when the mapping camera is retracted.
153000	157000	Maybe you've discussed this with the other people here at the center,
157000	164000	but for my own information, I would like to know whether this is the cover that was hung up or this is the cover.
164000	168000	Both of them. The shield at the forward end, that one.
168000	169000	This one?
169000	172000	No, the first one you looked at, yeah. That was sticking up.
172000	173000	That was sticking up, uh-huh.
173000	177000	Yeah, but the tip out here was mashed against the handrail.
177000	179000	Mashed against the handrail out along here.
179000	181000	Yeah, the rail isn't in this picture.
181000	182000	The rail is not installed.
182000	183000	It would have been along here.
183000	184000	That's right.
184000	187000	And this lip was up against it and bent back out of the way.
187000	188000	I see.
188000	190000	It was not in the full extend position.
190000	191000	It looked like it was a partial extension.
191000	192000	Uh-huh.
