start	end	text
0	1000	"HgAMC Jorm No. Pia (Rev 10 Sep 44) * * >. -~_ # FOLLOWING OFFICE SYMBOL: \ a. ' > See a i oo 7 on I a i] 7 | ""i <-> 55 an AVE a 'DE'-""CLAS a) wre =v SUBJECT: Flying Discs TO: Major General L. C, Craigie, are copies Chief of Staff Washington 25, De C. WRIGHT FIELD, DAYTON, OHIO ATTENTION: Director, Research & Development Najor General Le C. Craigie 1, Confirming the recent conversation of the undersigned with Discs. 9 December 197, attached as listed below of the reports from this Headquarters concerning Flying 2. Comments of Headquarters, Air Force on these letters have never been received by this Command. from qualified observers concerning this phenomenon still makes this matter one of concern to Headquarters, Air Materiel Command. Intelligence Department of this Command is continuing the collection and analysis of all available reports. 2 Attach: cc ltr to CG, AAF, dtd 25 Sept 47 subj ""AMC Opinion Concerning ""Flying Discs"""" cc ltr to CG, AAF, dtd 2h Sept 47 subj ""Flying Discs"" Continued and recent reports He M. McCO Colonel, USAF oh ine ie U-53791 ee eee ee er | + -_-_- DATES ita J Deg ""7 44 J prom: Orn * SUSPENSE DATE: NOt by ris 244394 FILE DESIGNATION AND DATE:, P' 97084 tree, Néhyl hs of SMRY?t ""armlyoie of *Fiying Disco' Reporte"", eg TrOsas TO: TO: SUBIEOT; Faying Discs TOs Gommanding General Air Materiel Coomand Wright Field, Dayton, chic Attn: TSDIN i. eerence is mede to three inclosures, senoranda from your offiee to tais headquarters, subject as above. x 2. <b is Air Fores policy not to ignore reports of sightings Sy Fs and phenomena in the atmosphere but to recognise that pert of its \ mission is to coliect, collate, evaluate and act on informtion of 3. In implementing this poliey, it is desired that the Air SSE and Contmetors all information concerning and phenomena in the atmosphere which can be construed to be of concern to the naticnal security, It is decired thet appropriates recomendations >\\ be forwarded to thie Headquarters, wherever action is indicated ' which felis cuteide the field of the Air Meteriel Cowmni. 4h. Tt is sucg¢ested that the activities of this project include and distribution of an initial report, as recomended Meno dtd from AWC _ 3.: CaNAME On aaa -_ COORDINATING a Ae. t, [icin OFFICERS. 3. hie ¢ _ Sn ee he Pa rom Dir of Intell »/_ ae Ty a alfUliteCO/Col Garrett/iwd/L 544 a 3: ' &) GD 18 Dec HY Basic Lir fr Hq. Fourth Air Force, Hamilton Fld, Calif., dated 5 Deo '47, subjects Flying Disc. APGTE-CO-5 lst Ind. wa | Dept. of"
1000	2000	"the Air Force, Ha. USAF, Mashington 25, D.C. P 2 DEC 1947, | 90: Commanding Generel, Fourth Air Force, Hanilton Field, California X CG OQ. 1. The marks appearing on the hotographs inclosed in basic letter are believed to be defects in the film, paper, or camera and not pictures of ""flying discs"". \ | 2; It is requested that no further investigation be made of this ' incident. ® FOR THE GIIKF OF STAFF: Lt. Colo: poo Jue ee Execitive. Ait ib ' Liigerce Requirements 'Div, Incls. aa net At 'ate of Intelligence n/e aT LA 0 Nah Ba aes nn a: (7846 ane File ref: fy B/L fr Hq. Fourth Air Force, Hamilton Fld,Calif. dated 5 Dec '47 subj: 48 above Ie APUL= U0 Col Taylor 10-29249-9 «ys S- GOVERNMENT PRINTING OFFICE be hasdnieenieamaeiiss $USPENSE DAT DATE: FROM Thon ¥Td, Galit myed2i34 5 s FILE DESIGNATION AND DATE: agi Ltr 1177846 TSMRY: i Wiying Dise' ""Mary L Herren | d Incls: TO: he AT IR - ea ""FZ - 7a ater TO: DATE: pon Khe ares ohppp DATE: DATE: REPLIED | INDORSED TO: | FI FILED (PLA (PLAGE) OTHER ACTION: _ HO AAF HEADQUARTERS FOURTH AIR FORCE Offico of the Assistant Chiof of Starr. A-2 Intolligence Hrunilton Field. Cnli£ornia SUBJECT, Flying Disc. TOa Chief of Staff United States Air Foroo naBhington 25. D. c. - ATTNt Director of Intelligence · 1. The attached photographs were forwarded to this office ya very roliable sourc~ of information, obtninod from a l!o.ry L. rren...-1728 S. W. Bidwell Avenu_e. Portland 2. Orogon. Siic>advises eae photographs were talcen eome time betTTeen November 5th nnd 12th. 1946. in the vicinity of Jefferson, Oregon, nnd points out the formation in the photograph~ ns being objects she did not recall seeing herso lf but oho thought might possibly be flyin g discs. 2. Tho objects roforrad to appear in the sky aroa of eaoh a.ooor.ipanyinr, photograph. The uniformity of tho markines would tend to indicate that the cQrtorn or f'ilm used to tnke these pictures was possibly defootive. lfo incidents of' flying discs have been reported from that vicinity on or about the inclusive dates named above - 3. llrs. lierren baa requested the ret:irn of the negatiTea. If - desired. this office will obtain the negatives and forward them at your request. DONALD L. SPRIRGER 3 Inclat Lt. Colonel, USAF Photograph,. AC of' s. A-2 C~T\IFIDEN'f AL a MIchTig AD BG TSNAD=23/ACL/amb vauore 70 ATTENTION OF FOLLOWING OFFICE.SYMBQL: WRIGHT FIELD, DAYTON, OHIO ee 18 NOV 1947 SUBJECT: Flying Discs ie) 4S"" TO: Chief of Staff Washington 25, D. Ces ATTENTION; Office, Director of Intelligence Lt Colonel George Garrett, dre @ eu 1. The inclosed newspaper"
2000	3000	"clippings are submitted for your information and comment, The incident reported in Seattle appeared in the ""Dayton Journal"" on 12 November 1947, and should be followed up if possible, 2. The story by Lionel Shapiro regarding war weapons developed in Spain evidently was printed in a number of leading newspapers throughout ort the coumtrye The significance of this article will be dependent upon certein essential elements for such alleged important developments, such as > funds, materials, experimental testing facilities, and technological -~ ""inow-how"",. The latter is supposed to be supplied by German scientists. _~ The German scientists at this Hq indicate that no importent scientists oa from Germany are working in Spain, and those mentioned in this article A) ere not known to them, 3, If possible, therefore, an effort should be made to obtain names, W\ qualifications, or any information that might help to identify the alleged 1 & @ German scientists working in Spain. 4, A brief statement was mde in a recent intelligence report from ¢ Hg, USAF, AC/AS=2 » regarding a flying disc incident in Alasikm in September, | The close range sighting reported should render a more detailed ebservatiqn | then whet was reported, which also suggests a follow-up. 5, it is further requested that this office be advised as to progress ~~ peing meade on the plotting of all flying disc incidents to date, particues jariy in North America, It was understood that Dr. Carroll was going to eA plot these incidents, but no further word was received regarding this efx R THE COMMANDING GENERAL: Jd eam ¥ olonel, Air Corps nol; newspaper clippings HqAMC Form No. 10-514 (Rev. 1 Aug 45) AVE. بيةم IN REPLY ADDRESS BOTH COMMUNICATION AND EN- - TSNAD=2B /ACL/emb FOLLOWING OFFICE SYMBOL: WRIGHT FIELD, DAYTON, OHIO ___TSNAD=2B SUBJECT: Flying Discs 24 OV 1947 => cl TO: Chief of Staff Washington 25, D. C. ATTENTION: Office, Director of Intelligence Lt Colonel George Garrett, Jr. Reference letter, subject as above, dated 18 November 1947, it is requested that immediate action be taken to appropriately mark or stamp this correspondence with the classification ""secret"", This classification number is as follows; U48983 FOR THE COMMANDING GENERAL? He Me MeCOY Olonel, USAF WF-L-7 JAN 47 300M AVE =, HqAMc. Egon No. 10-514 (Rev 10 Sep 46) IN REPLY ADDRESS BOTH AIR MATERIEL COMMAND VELOPE TO COMMANDING GENERAL, AIR MATERIEL | TSDIN/HuM/ig/6-)100 FOLLOWING OFFICE SYMBOL: WRIGHT FIELD, DAYTON, OHIO TSDIN ET cs Am cr aa ft Loa SUBJECT: AMG Opinion Concerning ""Flying Discs"" TO: Commanding General Army Air Forces - ATTHITION; Brig. General George Schulgen AC/AaS~2 1. As requested by AC/AS-2 there is presented below the considered opinion of this Command concerning the so-called ""Flying"
3000	4000	"Discs"". This opinion is based on interrogation report data furnished by AC/AS-2 and preliminary studies by personnel of T=-2 and Aircraft Laboratory, Engineering Division T-3. This opinion was arrived at in a conference between personnel from the Air Institute of Technology, Intelligence T-2, Office, Chief of Engineering Division, and the Aircraft, Power Plant and Propeller Laboratories of Engineering Division T=3, _ 2e It is the opinion that: a- The phenomenon reported is something real and not visionary or fictitious. De There are objects probably approximating the shape of a Q disc, of such appreciable size as to appear to-be as large as man-made aircraft. بر Ce 'There is a possibility that some of the incidents may be caused by natural phenomena, such as meteorse de The reported operating characteristics such as extreme rates of climb, maneuverability (particularly in roll), and action which must be considered evasive when sighted or contacted by friendly aireraft and radar, lend belief to the possibility that some of the objects are controlled either manually, automatically or remotely. ee The apparent commen description of the objects is as follows:- (1) Metallic or light reflecting surface. ..... SECRE'r...., Basic Ltr fr CG, AMC, WF to CG, AAF, Wash. D. C. subj ""AID Opinion Con­ cerning -Flying Discsu. (2) Absence of trail, except in a few instances when the object apparently was operating under hi gh perfor­ mance conditions. (3) Circular or elliptica l in shape, flat on bottom and domed on top. (4) Several reports of well kept formation flights varying from three to nine objects. (5) Normally no associated sound, except in three instances a substantia l rumbling roar was noted. (6) Level flight speeds norma~ above 300 knots are estimat ed., f. It i s possi ble within the pr esent u. s. knowledge - pro­ vided extensive detailed development is undertaken - to construct a piloted aircraft which has the general description of the object in sub­ paragraph (e) above which would be capable of an approximate range of 7000 miles at subsonic speeds. g. Any developments in this country along the lines indicated would be extremely expensi ve, t ime consuming and at the considerable ex­ pense of current projects and t herefore, if directed, should be set up in­ dependently of existing projects. h. Due consideration must be given the follovrin g:- (1) The possibility that these objects are Qf domestic origin - the product of some high seclll1.ty project not known t o AC/AS-2 or this Cormnand. (2) The Jack of physica l evidence in the shape of crash recovered exhibits which 'WOUld undeniably prove the existence of these objects. (3) The possibility that some foreign nation has a form of"
4000	5000	"propulsio n possibly nuclear, which is outside of our domestic knowledge. 3. It is recomnended that~a. Headquarters, Arn\r Air Forces issue a directive assigning a priority, security classifi cation and Code Name for a detailed stucyof thiS matter to incl ude the preparation of complete sets of all available and pertinent data ""flhich will then be nade available to th e ArrfU~ Naq, Atomic Energy Commission, JRDB, the Air Force Scientific Advisory Group, NACA, and the RAND and NEPA projects for comments and r ecoDDJ1eniations, -,dth a preliminary report to be forwarded within 15 days of receipt of the data and a detailed report thereafter evecy- 30 days as the 1nvesti- SE.CRQ -2- U-39552 Basic Ltr fr CG, AMC, WF to CG, AAF, Washe DeCe subj ""AMC Opinion Con= cerning ""Flying Discs"" gation develops. A complete interchange of data should be effected. lh. Awaiting a specific directive AMC will contime the investigation within its current resources in order to more closely define the nature of the phenomenon. Detailed Essential Elements of Information will be formulated immediately for transmittal thru channels. MF. TWINING a - Lieutenant General, UeSA. TSDIN/HMU/ig/6-4100 23 September 1947 TSDIN SUBJECT: AMC Opinion Concerning ""Flying Discs 11 TO: Commanding_ General Arizy Air Forces Was~.ington 25, n. c. George Schul gen ATTENTION: Brig. G~neral AC/AS-2 1. As requested by AC/AS-2 there is presented below the considered opinion of this Command concerning the so-called 11Flying Discs 11 - This opinion is based on interrogation report data furnished by AC/AS-2 and preliminary studies by personnel of T-2 am ~ircraft Laboratory, Engineer­ ing Division T-3. This opinion was arrived at in a conference between personnel from the Air Institute of Technology, Intelligence T-2, Office, Chief of Engineering Division, am the Aircraft, Power Plant and Propeller Laboratories of Engineering Division T-3. 2. It is the opinio n that: a. The phenomenon reported is something real and not visionary or fictitious. b. There are objects probably approximating the shape of a disc, of such appreciable size as to appear to be as 1a rge as man-made aircraft. c. There is a possibility that soroo of the incidents may be caused by natural phenomena, such as meteors. d. The report ed operatin g characteristics such as extreme rates of climb, maneuverability (particularly in roll), and action 'Which must be considered evasive when sighted or contacted by friendly air­ craft ans rada r, land belief to the possibility that sona of the objects are controlled either manually, automatically or remotely. e. The apparent common description of the obje cts is aa follows: (1) Metallic or light reflecting surface. u-39552 iy AS = i.: @ i Ty PR tga. § ee =r iy re) Set ¥. bs"
5000	6000	"5. ee. I a ead J Te me '; o)) as 'ite we NO eee | | Gerning UPlyting bane.. | | (2) Absence of trail, -exeept in'a few inotencea whan tte an + object apparently was operating 'under' high apis Cala 3 mance conditions. |. - 43). Gixoular or elliptical in shape; flat ¢ 'on 1 bottom an i domed on top. (hy). Several. reports of well es formation Slagnse 'arytng: ree ftom. three to nine objects. 3 ue; flomems & Ve Normaliy no associated mace except. in three instances a a) | oo se eubataitial. rumbling. roar was noted. <5"" ""fe @ s Ker Re | ne Level flight speeds potmaly, above #00 mote are » eats i ae غا าiدءد te Se: poubinis ighin the 'indeaih y $, asides 3 oe pro- | eae: extensive detailed development is undertaken << td construct a' | Rote piloted aircraft which has: 'the general: description of the object in aub~ ian paragraph, (@) above which would 'be capable ef an. 1, iets Pango of es Lake mien at gubsonic speeds. غاس ᄆ 3 pide) Pints re gs ""Any developments in this ecumbay: oe 'ke Tae Piso Tale would be extremely expensive, tine consuming and at the considerable oxpense of current projects and therefore, af ai se scbreen be tae 'ane 0! dependents of existing projecte « poe | Ue es nt he ""Due consideration must be. ghen the followng:= a igs | | | a) The possibility that these objects are of domestic. ate | @ oe SM opigin = the product: of' some: nigh' security prodect'. a Oy Olen dh at Gs Pua mae ae Me MM to AO/NSH2 or than Comuand « yg if ee EY en haat et phifeldal: eddinde tn the ""ahape ot crash ©. * -pegovered exhibits whieh would enokt prove Me, exietance: of these objects.: (3) The possibility that sone foreign nation has a 'tae °. of propulsion possibly. nuclear, which: 'is outside aoa | our donoutio wbscaeecdin 3. 1 is recomended thats i x a. Hea uartors veer ad ative ageigning a i pete eecurity laseifica pig Penns os Name for recta a study of thie mabher te 'Tpotnde the. preparation of complete sets of ati available. and pertinent data which will then be made available to the drny, Navy, Atemio Energy Commission, JRDH, the Air Force Seientific Advisory Group,, NACA, and the RAND and HEPA projecte for comments and recomendationa, - With a preliminary er to be forwarded within Ry days of receipt of tiie date and a hehhed report Bg gta ty"" + fi mo days eo the investi~ ganz. - Basic Ltr fr CG, AMC, WF to en, AAF, Wash."
6000	7000	"D.C. Subj 0 AMC Opinion Con­ cernin g 11Flyin g Discs"" gation develop:3. A. complete interchange of data should be effected. 4. Awaiting a si;eci.fic directive.AMc w.i.11 continae the investi­ gation withi n its current resources in order to more closely define the nature of the i;ehnomenon. Detailed Essential Elements of Infor mation will be formulated immediately for transmittal t hru channels. N. F. TWINING Lieutenant General, U.S.4 - C9fflillanding r TSNAD-2B/ACL:eec 24.5eptember 1947 TSNAD-2B SUBJECT: ""Fl ying Dis c"" TO: Commanding General A.rm::! Air Forces Washington 25, D. C, ATTN: A.C/AS-2 Major Gere ral George McDom ld l. In compliance with General McDonald's tel ephone conversa­ tion, t his date, t o Col onel H. M. McCoy, T-2, Hq. AMC, attached herewith 1s a copy of a draWing entitled, ""Loedding Flying Disc"", designated LD-2. Because of patent rigbts invol ved, it is reques­ ted that a record be kept of all persons reviewi ng this drawin g by witnessing with signatures and dates directly on the drawing, 2. Thi s drawing should be returned to t his offi ce when it has served its purpose so that it can be turned over to the Patent Office Hq. Al(C for off:i,,9ial record.../) - ~ ~ ~ ~ 1 -,- 3. Inclosed herewith is al so a repor t prepared by t he Royal Aircr~f t Est ablishment, Technica l Note, AERO 1703, which describes the lforte~ess aircraft _ '!be follo,ing references are invited whic1i'""'I's""""considered sibrnificant in relating the Horten brothers per­ spective thinkin g and accomplishments toward the alleged ""Flying ucer"" case: a. Page 5, Paragrapli 4 and 6. b. Page 6, Paragraph lam 7. c. Page 26, Paragrai;h 3 and 10. d. Page 27, Paragraph 12. e. Page 2g, Paragr,phs 1 t hrough 5. f. Page 54, Photograph of Horten ""Parabola"". Basic ltr, dtd 24 Sep 47, to CG, Hq AAF, Wash, subjt ""Flying Disc"" g. Page 69, The Horten VIII. h. Pages 71 and 72, Photogra}:ils of the Horten IX Versions. i. Page 74, Dral'ling or the ""Parabolaf. This document should also be returned when it has served, its-, i ntended ye,. purpose. { L,Lsca. I~~-~~ 4. A recent report f'rom the u.;:;. Milita ry attac~ }loscow, USSR, dated 9 June 1947, indicates that 1800 afrcraft, directly or indirectly \ based on the Horten VIII design (six engi ne pusher, havin g a l'fing spread of 131 feet and a gross weight of approXimately thirt y-three thousand pounds) are being built for bomber squadron use. The Russian version, however, is jet propelled, reference report whose identification No. is v-,2291-8. X r5 5. The T-2 report ""German Flying \\ings Designed by Horten Brothers""....,. No. F-SU-1110-Hd, also inclosed her ewith,"
7000	8000	"may be:n:tained tfy your office if desired. FOO THE COW!A'NDING GENERAL: H. M. McCOY Colonel, nir Corps Deputy Commanding General Ihtelligence (T-2) 3 Incls: 2. RAE Tech Note, AERO 170~ 3. T-2 Rpt, No. F-SU-1110-HD .: + y [ORM NO. MR-1 (2) So DATE: دد aie; 30 Oct 47 INDEX: 0009 Flying Saucer - Phenomena To: GSGID, Plans api Collection Bra ¢h FROM: Ghief, Air Intelligence Requirements Division, AC/S-2 SUMMARY: dJmtelligence Requirements on Flying Saucer Type Aircraft D/F FILED: 350.09 Intelligence HEADQUARTERS ARMY AIR FORCES OFFICE SYMBOL Wrtn 22 Oct 1947. Cet 47 Lt Col Garrett/d1/4544 AFBIR-CO-5 B/L fm AWC, Sub4: ""Flying Dises"", @ta.18 AFRIR-CO-5. - ist 'Ind Dept. of the Air Forse, Hq., USAF; Washington 25, 0 Ce 28 OCT 194 fo: Commanding General, Air Materiel oxo Wright Field, Ohio (Attention: Te2). 1. A representative of this nesaseckeace hag contacted Lt. Colonel Herbert C. Cee concerning Mrs, Merchant's ere on the flying dises, Qs expressed to General Brentnall. 2. It is recommended thet no action be taken to interrogate rss Zerchant and that this oase be closed. BY ORDER OF THE SECRETARY OF THE AIR FORCE: Inels = n/o DOUGLASS W. EISEMAN it. Colone?, Asters USAF -Bxeontivs,..¥ixv Intel Requirements Division Office of Ass""t Chier of Aim Statf-2 CS Aa KAP: & 8 0071947 | ree ALE: - WAIL GRANGE - re P 94846 SIGNATURE OF Resronsisle Opvicer 5 mk INTERNAL OFFICE COORDINATION of Us 5. GOVERNMENT prNTING OFFICE 16-29242-1 AIR MATERIEL CGQMAND TSNAD-2B/ACL/ame Wright Pield, Dayton, Ohio 15 Oct. 1947 SUBJECT: """"""Rlying Discs"" TQ: Chief of Staff Washington zo, LD. ©. ATIN? © AC/AS+2 ""Lt Col George Garrett 1. Attached copies of communications are. self-explenatory and indicate action taken to obtein additional information regarding subject, ° Assistance shown. from Lt Col Herbert ¢. Gee was with reference to the social statiding avid character of Mrs. Merchant to determine justification for further investigation of her theories, es in view of Lt Col Gee's transfer to Washington; D. C., it is suggested that a representative from Headquarters, AC/AS-2 contact and interview him. Be 'General Brentnall stated that Mrs. Merchant was extremely telkative and seemed quite intent on promoting a personal enterprise instead of cooperating to help solve an intelligence problem, 4.. Comments end suggestions, therefore, regarding further action to interrogate Mrs. Merchant would be appreciated in order to 'close this case as soon 4s possible. غا /s/ Ws R. Clingeman, Cole, A. C. - for 2 Incis H. My McDOY 1. Cy AMC, T-2 Ltr, 9/29/47, Colonel, Air Corps ""Flying Discs"" _ Deputy Commanding General 2. Cy Ist Ind, 10/2/47, fr Intelligence (T-2) Hq. Kirtland Field, Albuguergue, New Mexico ~ - a OP HY GC eo September 1947 15 Oct. 1947"
8000	9000	"SUBJECT: ""Plying Discs"" 70% Cenmanding Officer Operating Location No. 16 of 7318, AAFBU (2Olst AACS. Sq) Kirtland Field Albuquerque, New Mexico ATTN?: Col. Howard..¢. Bunker Dh General Brentnall, wiring « racent visit nt Las Vegas, was Gontacted by s)Mrs. Madelina Gwynne Merchant, Sante Fe, New Mexico,' whe described what may be termed' a novel theory conterning ""elyine Dises"". 2."" Aecording to her thoery, ""Flying Dises"" are being fired froma locality) in Central Mexi¢o*from @ laboratory which is heing opersted by the Russians. She claims they dre being @imed at the' United Stetes for the purpose of Sighting in on important atomic energy and sircraft installations. ye General Brentnall states that he dees not have any Further interest in an interrogation of Mrs. Merchant since it is not an engineering matter. | However, he recommends that if Ha, Air Meterie) Command, T-2, wishes to sponsor an interrogation of this nature. thet Col. Howard Bunker.should be contacted to determine the name and.address of the colonel at Las Vegas who has knowledge of this case, In view of General Brentnall's suggestion, no direct contact will be made with Mrs. Merchant, 4. It is* requested, therefore, that the neme and address. of the above mentioned colonel be made available to this offide as soon as possible sc that further action, as deemed advisable, can be taken, {s/f Me Bs Corl He. Ws McCoy Colénel, Air Corps | Deputy Commanding General Intelligence' ( T=2) B/L fr 'Iqs 1.JtMC, ~.right Fiold., Dayton, Ohio, File ':.'Si'AD-2B, 29 Sep 47, Subj: ''Flying Dices"" lat Ind HGll: ns i]""EAD~UARTERS, Kirtland. Field, Albuquerque, New Mexico, 2 October 1947 TO: Co!lUllandini; 0enera.l,:1.ir -!ntericl Command, lr.ight lisld, Ohio ATTErTic~i: T-2 1. The o~ficer. referred to in Par. 3 is Lt. Col~ Horbert C. Gee, 0-19717, who v,as f'ornerly ComMD.ndine; O!'.!'icer at Los.~lamos rather than Las Vegas, as stated. Lt. Col. Gee is now stationed in the office, Chiai' of' ngineers,.::ivil 11orks Division,,ashir- 6ton, I), C. 2. There is no repl~cement for Lt. Col. Gee at Los llanos ruid no ir.fcrmation is available to indicate that any individual in this vicinit,/ has ~ore information concerning wra. Merchant ' s theory than Brig. Gen. Brentnall of N'C vrho personally conducted an interview with her. H0,7A,.1D G. -aUNKEI{ Colonel, C SUSPENSE DATE: -_ Sea ee 934015 FILE DESIGNATION AND DATE: P 94846 SMRY: ""Flying Dises"" [LA se To: Bir TO: TO: AFBI TR=CO/Lt Col Garrett ta Tt) 6 -Oct 46 Ay Basic: Ltr fr Ha, AMC, Wright Fld, Dayton, 0. 24 Sept 47, Subj: f ""Flying Saucers"" Rar: Cyo of Inclenres in A-2 Wiles = oy * P 94380 aa AAP Ss Bp hm 1987: (as APDLR-OG-5 Let Ind eS oO Department of the Air"
9000	10000	"Force, Hq, USAP, Washingven 235, BD. 0. & OCT tae 01 Commanding General, Air Materiel Comant, ¥ ATTN: TSNAD-2B right Mold, Dayton, Ohio i) Attached herete ia information requested in dagic letter, BY ORDER OF THR SONMPANY OF RNG AIR FoROE, DOUGLASS W. BISENAR vine aeror ot. Gelonel, Air-Germst Vd (tne ae Executive, Air Intel, Requireuen.s Diviste OFFICE SYMBOL ae:: Set AYBIE ee eae п ممندسرضهم ء sspnsen2 ly és) 461 an 4 é risen SURNAM rn 2 Oat 47 See J دطافغا COORDINATING = ||__ | date ag, Ks sahuleor OFFICERS § |. Summary of Inlfo on ""Una,; ' e Lt Col Gapres Apis USA u. 5. Sie fins orrice 10-20242-2 TSNAD-23/ACL/ame Wright Fid,Dayton, 0. 24 Sept. 47 TSNAD-23 ""Flying Saucers"" Commanding General, Army-Air Force, Washingtg,. 25, 0.°, ATTH: AG/AS-2, Lt Col Garrett XN 000.7 It is requested that this office be furnished all/a information concerning an alleged ""Flying Saucer"" flight sichting J made by @ radar station in Japan. This incident was mentioned by Dr. Charles Carroll during a conference in Brig Gen Schulgen's: office attended by Mr. A.C. Loedding, 7-2 representative, on 5 September 1947, FOR THE COMMANDING GENURAL! /s/ Me Z.Goil /t/ HM. NcOoY Colonel, Air Corps Deputy Commanding General Intelligence T-2 AFEERSCu/Tt+Col.Garrett/rm/h5u § sept 47 \PBIR=0O 41 SEP. WAT HVECT: Reported Sightings of Flying Discs. TU ¢ Commanding General Air Materiel Consand ere: | Wright Field, Dayton, Ghio Attention: T-2. ) 1. As arranged verbally with Mr. Loedding, inclosed is the compiete file maintained by this Office on reported sightings of Fiying Discs. | x © 2. This File is forwarded so that photostate may be made in S order to provide your Command with a duplicate set of these sightings. x 3. When photostating this material for your purpose, it will be appreciated if one extra set is made for this Office and returned | at the same time the originale are returned. | PNK ke This file, and the duplicates, should be returned as soon us possible to this Headquarters, Attention: AC/AS2, Air Intelligence Requirenents Division, Collection Sranch, BY COMMAND OF GENERAL SPAATZ: Lt. Colonel, Air Corps a/e in: =. F i 1, Requirements Divisio, I 1cuLIVve Air Tote 9 hed ' par. 1. 4a. AA® sevice of ""Ass?t Chief of Air Staff-% 1= SEP 1947 pee RSET, Ea p| fy cjQs ral OFFICE SYMBOL! LS: f GRADE AND GOL, 1 SURNAME OF _ -= COORDINATING = }______ - ste OFMICER® MAB CohMarrett pes | | \ HA\ by 1o-29249-2 Us Bs GOVEMMMENE PRETING OFricg HEADQUARTERS ARMY AIR FORGES TALLY NO. ROUTING AND RECORD SHEET FILE NO. SUBJECT: Flying Saucer Phenomena TO: Deputy Chief of Air Staff for Research & Development DATE 22"
