start	end	text
0	1000	Chearyear! ygitior VOServer's Position.. Lies Frou May @ir, control tower, etc.) of Vbserver.@egmpe AGmES ¢ 2566 * a *... e * ve,, -CGHETEPGRE, la. « « s) Sighted.gme.@a)..... * ry. \ Wer.:.? Apparent vonstruction (cf e,. 1 * ® *. * e BR 088 dditienal Space is 6 % @-'16-2F ws, Needad * s Incident No. 2fl wate and Time of Otscrvation: 1 Oot kg (Friday morning) 0540 Were Sighted: Aseension Parieh, Towehtp 10 south, 4 masts bs FO 0, cn were a £42 nw s wie ve 2 7O61°4Ch' fa \; a. \ } ' eT = A wi 2 i ' 4 ds é,. 1] FS 4 our tt ' Cc Giret t Wwe: a: Lf. / Dserver! _ B. B, Williams, Pres, United Lamd Co, ss AY Deyades St., New Orleans. RA 0515 vOcvses! gomsiderable flying exneriencse ) Seen: 1 t( 8) 'heproximately the length of a passenger aircraft white-hot: et 2m tne ett cone. The object dislg te: all eg sogg encased in flems 1500 te 2000 ft oY ue a 3/4 miles avay Sufficiently lomg to enable Williams to aake a fairly detailed eDservation. Approximately 10 seconds. Straight and level flight Weether Conditions at Mme of Sizhts Peculicritice Noted: Summary of Incidcnt: td en f vs { Fe Incident: 17% At the time of the «ighting observer was standing on a little ridge facing south in the midst of a clesring some twenty feet wide. It was too dark for hunting in the wods bat was oufficiently Light for im to see the time by tie watch, At O540 boure #iiliams wes looking to the south and sew an object which resembled an ice cream cone treve ing enct with tM Larger end in front. The front en! anmesred wiite hot (Like the mantels in « gusoline Lantern) Toward the rear it got gradually 'arker red. There wie no rvicibdle metal or other m teriel ami no projectiona of any kind, only fire. he object mate absolutely no noice and left no trail of amy «ind. It was treveling in « straight line from west to erst and '1: not goin or lore altitude, There we no visible means of propulsion. it appeared to be about 3/4 miles away and st an elevation of # wroxr imately 2500 feet. Mr williams state' he was looking uw at an angle of about 50° reletive to the groun4 and observed the object for approxinately 10 secomds before it weobscured by ome trees, ix avpeared to be about the sire of tne average sirliner and ws traveling aprroximately 300 Ki. The larger en' of the cone appeared thicker than the average | airliner is through the ae bot
1000	2000	"it we about the same length. The object displayed no lights other than it appeared enemséed in flame, it Jid not light uw the area, There wast mo vieible moans of expoort end mo control surfaces, ""here were mo Clowls and the wind wae fairly caln, Williams stated that he was a etudent p§lot but could not get pilotls license because of poor meculer coordination in his eyes. Sie color perseption war normal and cis hearing ic excellent. Iuveitigative personnel stated tust Mr williams seer! a reliable level headed person. 'le appecred conscientious and desired no pub! icity stating that he (id not desire bie friends and business aoquaintances to josh him concerning tne matter. = Fe, Bew Mexico -, SRR aoupwest, from Plaga of Sentc Fe, K. &, A. Ruble Angier, 2620 Proctor St, Waco, Texas Beon Sign Mamcfacturer - own employer A pilot since 1928 ~ not a hobby Saw object glint while watching another aircraft At least 100 to 150 feet in diameter PocvAtle) - Depfestiy flat in appearence - comared to dime in sky., > Sighted in daylight 25.000 to 30,000 feet B/s Stationary at time sighted 15 or 20 mimates Very little movesent if any noticed by Mb}. ot Bo sound determined at time of sighting cet\s} ctor 213 Cby setic Seemed to ~ove in a senicircle, fro 5 0, 2 ry finally. to HB May have been optical illusion. Bo clouds Bo evidences of exhaust noticed Still in view when observer left he? Qawo Gave the appeerance of being flat incident 175 Waile watching a government plane come in for a landing at Los Alamos at 0940 hours 23 Sept 1948, witness noticed something glint in the sun. Focusing his attention on the object he perceived that it was perfectly white, meither transparent or translucent and that it had no metallic sheen, It we perfectly cireu- Lar, the side visible to hin belng flat - mach <2 a coin. wuld avpear when observed from a distance. it a pecred mo larger than a dime. Lining it up in relation to tne tip of the radio tower he backed off to the north, The object appesred clear out of the picture in relation to tne tower, Using this perspective be judged the altituie to be approximately 30,000 ft. At this altitude the object would necessarily be some 100 to 150 feet in size in order to be visible at all. There were no projections, air-traile, or exhaast of any kind. Ye called the object to the attention of Mr Faircnild, his companion, Soth sen then went intc o Bull iing transacted their business and at the eni of eight minutes they went utcide ami perceived"
2000	3000	"the gbject in avprozimately the seue position. From the tine Angier first saw the object to ale last ob ervation wat ayv-roximately 15 to 20 minutes. GGNTS BCT.3: My Angier is s-mroxgimately 5 years of age, well settled and conducts bis owm busine s. de is an experience' pilot, comes froa miidle-claes facily, ir a Little above average in intelligence and is a good converseationalist, 'e told a straight-forward story ané Jic not contradict himself, He aspesred honest in tis convictions in his belief that >@ saw an unconventional aircraft. He war convinced that the object wos not a weather be loon since he ic familiar with weather balloons. a ee be rc 2 es Me ae rs - 1¥ - Whew ae + a _, wh Le arid he of WEBServavion. a3 Sept Weere stint ral i coltro: tower, etc. cf Obeerver? Mp Johm ©, Padrohild ior hotties: Building Superintendent ait fige eon Seeing 150 ~ 200 feet estimated size bright silvery object oblong egg shape aity: sew gust a silver streak 30,000 feet v thepe at the end of scbject be epert fros object bat close on its tail Incident: 175s Statement of Mr John C. Fairehild doe+ not t lly with that of A. Mable Angier, See Incident 175 Mr Fairchild saw a bright silvery oblong or egg<shaped object which ane red to have a speed of 700 to @0 MPHand which seemed to have a 30""t of cumflowr shane.¢ the end of it but apart from the object and close on its tail, %e nercefved a bloish ape. Tance to reer of the object wich could bave been exhaust. [To tia the object eppeared ullwery instead of wolte and odlong rether than round. Rr Angier thought the object remained etationary. Howver the ciscrepancy in time could have accounted for tiie, 'parently dr Yairchild observed the object sox 15 minutes before Mr Angier obgerved it. Also it wuld seem thet he watched it for « greater length of time in that ne mentions thet it fadea from view wheress Mr Angier stated that it was still in view when he left, sate and Time of Oteervation: 23 Sept 48 = Approx 1200 Wnere Sighted: Qaetro's Ranch - 4 miles due eset of San Pablo, Calif and | ""el miles South of Pincle, Calif ""= eee + aa for, wae 5 f7 OUT cor Cc sf 7 stm. i ot ee a hp oe | ed 4 ee 8 Cwoes ey, \ire-e of Cbserver! Hopege 3. Bekins, Col., U. S. Aruy (RED) 1024 ether Drive, almat Creek, Gslif. 'omation and/or hotoies: Retired aray colonel formerly a veterinarian presently employed as a Meat Inspector by Calif State Dept of"
3000	4000	"Agr. Attention Attroctcd Cy! "" Wee observing an Army bomber when he observed ae a. ee eee Jo Cy y SERS About the size of a leengine bomber - longer than wide Main pert bf body tremalucent and of « dirty gray color مة hモpيةlبيةకదిവി屯لعاణغاen君еrentiಯधामari прhнriلعاsl mring Tmдمساಮಾdلخاರುلشاغاndoلعابية liro anoeba we OF lair ""Jt Dad mot reflect or give off light of any type = a aha tri Ne ale Over a mile was we Over a mile directly above very fast speed Gould not estimate appendages seemed to flap or oscillate while center a remained stable ». Cehi ets): Ko nolee tof Cbject(s) early dune east Thought main part of object appeared like canvas Mo evidence of exhaust just disappeared from sight in a very s ort time etm r Condit? nt Time of oh ather duli anc. hazy - = there vere very fai eloats ""te A ay he tine. Peculisriti: ¢ Motec: See drawing attached Imci. t: 176 Woile watching an Aray bomber which ws flying rether low, Col Bekins observed above ami going neerly dme east an unknown object. He asked his companion, Mr Bentham, if he were seeing things. them substantiated the fact that there wac am object above the bomber. Col Eakins iescribed the object ec being eporoximtely the size of a lerge fourengine! bomber. It appeured undulating in shave resembling an ameeba (See sketch incloved). The object appeared to have 3 appendages forward and 2 aft which seemed to be flap ing or ovcillating while the center portion re eined etable, ol Bakins toought it we a mile or more above tne tomber, In the center of the object there appesred a round, dark circle which, in Col Sakins' opinion, seemed to be above the main body of the object. Further it appeared that the main p«rt of tne object was tramslucent and of a dirty gray color and that the dark, circular portion ayprered to grow mre 'jense in color as it approached the center. From this observation Gol Zakins conc!u ed that the dark portion was spherical howing the shave and depth of a glode. Ba further stated that the main prt of the object appesred like canvas, Re could not estimate the meed of the object but sali it wis troveling at « far greater meed than the Bomber or anything else he had ever seen. There was no noi<e of any type® and nm. evitence of exhaust or trail. ~*~ The object dif not reflect or give off light of any type. vol Eakins pricr to his retiresent in 19 wis on luty in Panam a veterinarian with the Army miesion, ie retired becaive of p r.onal reason: ani"
4000	5000	"mot Lec uee of piysical defects. ''owever, Col ""Sekine is farecightei end nes to wear gloeres. RBeighbors an' burinese a sociztes establiahed t © fect that he i» uighly thought of and is reliable in all nis 'ecl ings and associations with tuem, He impressed tne investigator is Leing stable, intelligent and above average in comon sense. Approx 1230 Oastro's Rangh - 4 miles due east of San Pablo, Calif & ""Kl milee south of Pinole, Calif, ala tate tw - +p) > Avue ae | Pee eee jac ith 4 of Coserver: Mp Sylwester Bentham, 2655 Dam Road m Richmond, Calif, Gol Bekins calling his attention to the object Appeared from observer's viewpoint to be 2 inches by 1 ineh by 1 inch, Baff or gray in color rectangular outline with sharp corners (See attached drawing) faster than any plane he had ever seen At least 3 wimtes horisontal flight no nolee ) northwest then turned north Seemed to be covered with a translucent material Left no exhenst or trail 7 flew out of sight gredually fading from view. Seemed Like a vegetable crate flying thru the air. = * - see ~é ettschicd ws ee ee ag ES a A a ee On 23 Sevt 1948 Mr Sylvester Bentham was talking to Col Eakins when the Colomel called Bentham's attention to a single object in the sky. Object firet appeared in the northeast ami wes moving faster than any airplane that Bentham had ever seen, Object appeared very high. Both Eekins and Benthem watehed it for at lest 3 mimutee, It move toward the northwest in a straight line at a constant apeed finally turning to the North and faded froz view. To Bentham the object appe.red to have a reguler rectangular outline with sharp corners. It wa» boff or gray in color with several darker vertical lines like ribs. (See drawing attached.) Object eppesred like a ""vegetable crate"" flying thru the air and seemed tc ve covers with a translucent material. It made no noive and left no exhan:t or trail. A-parent sire was approximately? inehes by 1 inch by } imeh. Kr Benthem's description as to the ahape, direction and overail apveorance of tais object & in direct oontr.diction with statements mide by Gol liornce Eakins, Mr Bentham further stated that neither he nor col ""aking were weering glacses at the tise and that he wears ginvses only for reading. Fr. Bentham ie 7O years of age. He i: a retired tatcher, B/s B/S very high eltitude terrific Object not seen Unlike sny made by know aircraft weat Umisnal eoqund Ooject wae not perceived as it was too high and going at a terrific rate of"
5000	6000	"speed. Witmess states she has heard meny planes wat could not describe the sound. Subsequent investig:. tion of this incident reveals that according to. neighbors Mrs McDaniel possesses a vivid imagination and that the daughter was inclined to take efter the mother, Seither of the neighbora heard any umu@al moles in the vicinity. 1705 - 1715 HS? 16 October 1948 ae a ° VGUL ees Honolulu, 7. H., 158° 21° 5' § r ~ Ustertrer'''e« FPositior: he. é + 4 4 A. SH LSAT 7 et - acific gts Ra, - Major, UsaFr - rated pilot ~ 4 or 5 inches in dia from observer's viewpoint Jpeared Gatincted Sd 10 to 15 feet in diameter PO \: Wright silver - comparable to aluminum in aircraft Calar - |: at (gs a Bs., yey 'tic). Pound or elliptical B/SX Wo fleme or lights observed 10,000 te 14,000 feet oe +; Qveerved intermittently, one time for 4 seconds, another 'tee io seconds, the Lengeet od. Apparent C- oth or rs ¥ tt dae "" ' iat ""$2.at on Clenis: Gloud formation blocked vision of obeerver as object wes at = al titade Between the two cloud formations (See attached ye nist 'Bre Color of): %o exhaust trail Disrppirrance: 4/8 High broken 3,500 £t; 3/l0s tei as"" alts cumilne 14,000 ft: eirus est, 0,000 f not conventional craft Vieibility: 15 a. mege) incident: 178 Qn the afternoon of 1% October 1948 at approximtely 1705 hours Maj Robert ©. Drum stated that he had observed a strangely shaped glistening object in the north sector of the aky which was moving in a northeasterly direction at an estimated altitude of 10,000 ft. A stratus layer of clouds was situated above the object at an approximate altitude of 14,000 feet. The dise or discs were moving below this layer of clouds in that it was noted that on two occasions that the highest formation of clouds was at a greater altitude than the object observed and that the lawer cid formation blocked the vision of the observer thus placing the object betwoen the two cloud formations or levels. Because of this lower brokem cumius clouds at. & Wery low altitude wnieh wis 'ving in a southwesterly direction, tne Major could not ascertain whether he aaw the sane dise four different times or four different disce. Over a period of 1( mimutes the disc or discs were sighted four timer. The longest period of observation was estimate? a3 10 seconds, The object or object(s) appeared Dright silwer in color and circular or elliptical in shape. No wacor or exhaust was present and no fl ace or lights were observed. Ho sound war heard, Speed was estimted as"
6000	7000	"2.0 MPH by using on estimated 40 4 factor in the swirling build-up of cumalus clouds, Maj Drom compared the disce with a silver dollar slightly turmed from a flat cosition, givin: the object a diso-shape wien held at arms length at a Lbs angle above eye level. Maj 2rum thought that the elliptical effe:t could «ve reealted from the angle at wiich the ob-erv-r ana object were located. Maj Drum stated that he was certain the object was not « conventional er ft. One Be26 und one B17 end one PEMS wre f). ng im the vicinity during the arrinod 0 iE fz Le O35 i we. The above sighting was also observed by Nrv. Drun ( JS Drum': wife) and by hia Reyr old daughter. Both repestei ores ely the same obeorvation: stated by the Major. *. © *. Cy « Coserver's Position.. @rguad ~ 1/2 mile from the greet highway aga. p ee 6 ea a4 ar oe | mt "". Vtserver. Joba Proite a ' See mos & ae mM attracted he cquld reach.oyt eh wey 5 "" WweotLion Obte""6T - wlldnc thru the Golden Got p le, wh he ObE:erve a ~ste-riou Ught that 1llwniu.ted tbe entire ocean ( 10so! ~- oe c.ould e) He!el 10 thuic ""like an lectr1c arc which e d to hs.N the powe-.r to lower hh band 1like a aaclt o! 9hot-.' Observer state s that he 1@ subject to bro.hes aad vbere the th.tac eeaed to hsv co taeted h he noticed a 'bru1,.. the followiac day that bad not been tber before. Ee stat d toot be c:ouldn' t fiAd COW'II- t.o report tnincideJlt aince he didn't 'belien ru11one would believe the story. Re does not...,hb a fllrtber inveeti&ation. oori: 'Ihe accoimt 1e wry incoherent ud the ob TTer apparently not wall ed.u.ceted.. A.a xtrem&ly unreUabl.e aecoWlt - anntrol ¢ 7 | ie 1 eee ep s JSOrver. Ahoy Y430 hours logel time. Seer 2eytoe,.Ooie. *. + _ Fro 6 Oa 60 tat. atl Madre: - Nal G. H. Smartt, Pilot, sedi -- Po ot and Ordahngs Offieer cy, Cotas eloee encags to conse hie to ""aoe 'tt order to perm bel listom ot(s) Sichted Pore oF four. f = 7 + * * *.. bs) 11/2 feet long ond 9 inches gerogs. st silver or silvery white |, teardrop | Seemed fpirly pipes. bepe red to be sel sh wery fast. _ Trevelod in strbight line in gradus) depopnt | Bone noticed | (>) meet Metgifig, cs of exhenst. e « * P25 miles,. *. * '' * o * ° * e * a s * 2 Sheet if additional Space - a ee ee Bee"
7000	8000	"- mee tin Vojects seemed to take no definite course but flew in a general easterly (irection in a gradual descent. A few came close enough to oa se the plot & co-pilot to tuck as it sppesred they might: come thru the nose of 'he plane, Na} Srartt's analogy is as follows: Take about 1/2 gallon of w:ter end dump it 200 yards in front ef an approaghing ai about QUO feet above it, wit) the water taxing the shape of a teardrop. These objects aype red to travel in a straight line toward the afreraft and g-dually descended, pavsing from view umier the wing of the Gi7, The spparent apeed of these objects ape: red quite igh ao they remained in view for only a secnd. Thay were sighted ome at a time et intervals: of tiutee or four mimtes, Ascrepancies noted! In first report Maj Smartt revorted seeing 15 to 2 objects. eter he resorte smeing three or four, in first report be atutes tuat they purened no deficite course in tagt some travele downward and some tra-cled upward. In last report he does not mention thst ony purcued an -pwerd course, The analogy of comparing sigtiting of these objects to 1/2 gailon of water dumped approximately 200 yarce in front of cis aircraft and tat teardrop object: were formed seeme to indicate an i pression of a group of cbjects seen at one time (as first reported) ant not singly at intervais of @hree or See SSG deat ~o#+ October 1OUE ieee alge ame ps Incident: Sighted., TH2 MOL Weet wy 36° Le! Worth Fed vot Ae 5 * -. + ry * At aea -. the 8/3 Gulfport a * * * control tows etc. S/S Gulfport, ea en ee ae Rita ok ry bright |... server 4/§, Gould not eqatinete,. i. i iS Tuc ted bh Hed distinct ans Peculiaritics Noted Summary of Incidcnt iuciijent: 18> A bright object similer in shspe to the moon but with a distinct bright center was observed by the master of the 3/5 ""Gulfsort"" The object gradually grew darker as daylight faded. Size was that of 1/4 of a full moon. It wes traveling southeast by west. Firet bearing: 2220 GMT - xikvkioie *50° * 2d besring! 2230 GMT - akkikete 352° 0.18 3a bearing: 2254 GMT - O50 = 4557.05 Disappe red at 2310 GHT. - 163 ""15 Oat 1M - night Slated! Puciois Arua Betwea ot - Shima 3° bO* K by 132° act £ 45! B= 126° 40 Rast, Japan: gr (4 Sp he eneal tower, aes Ger '1ict and reder obeerv:r vip of unknown alroraft eope ring cu airborne r ~muld not be estimated"
8000	9000	"net be Jdetar~ined Go exhaust flemes or trails seen Hct? Aggeler.ted speed snd wes lost to airborne radar~ snaits TM sy oe eorrpe: + x OT SOnGS Teens Bt sata OF Sic. n8t Aalagiea Areas Unlinited eel! ing, wind on vasabil tty 5 to 6 alles wi th heey cloud govermge 12 to 14,005 ft 'Gt Sigh pate ef eccele: ratiog, wartica) acatt>red. aagent, angni-ancs of F-61""s loestion at all tines, Lover? A cable from F2AP reported that an unidentified aircraft was sighted both visually and by rader by the pilot and redar observer of an F#61 on 15 Oct 48. The obserwers think it powsible thet 2 unidentified aircreft were involved in the intercention, The sigh@ings occurred at nignt; cowever, thore wes sufficient moonlight to percit a silhouette to be discerned altnought no detcils were clirerved. It was imsousiiéle to ee timste tne viee of the aireraft or whether it was jet or pro pelier driven, Ro trails or exiameat flames were seen. The speed oF tide airereft wos reported ac mach greater than thet of the Fecl, it aleo nad s nigh rote of aceeleri tion ant eld go ai ost straight up or down out of redar slevaticn lint The object seeme? cognizant of the wiereabouts of tue Fefj ali times wileh wight imtic te thet it e-rried roar The Feol interceptor aircr. ft wif Wirible to ground radar on] periodically ee it flew in and out of the sermanent groum! return area in wiieh search was being conducted. 'The only object picked us by the ground ratcr was ie Fol, elit ted distence between sntereentor (Fe61) ani objects in e ignting ds ae fol*owe: iret pliekea ur 1 ifs and | EX) Toate wna. irc picked un ct % alles and lost at 10 wiles ih ' a, ha ie Your, five and sixt al) B nites The lust three sightings took place 'uring a 10 mimate werind. i + eo ee i"" ' AnD eaagh instance the Fei) detecte* the object approximately 9 miles aheed, slowly closed to wituim 12,000 feet when the object suddenly accelerate speed, dive end disappesr from the alrborne rudarscope. intereeptor ettempted to effect a nornal pickup by diving after object but Im ech case was unsuccesafal, After six sightings had been lost, »the object was not agnin detected. i though interceptor continunsd to search the urea until approximate! 0140 & thie went 1 2} Leet long by & feet wide B/ 3 eetty) BS ""a buneh of eparks with a tail® broke up into sumercus brignt p-rticles 2] October 19 @iDOOK! IT'S TH058 SAUCHRS AGAIN"" vee At Winona, Minn., Paul Zenk and Dr, *, T, Benoit aid they saw a"
9000	10000	"slowly traveling object which broke up into numerous bright particles over Thay said it was ebout 5 fect long snd eignt feet wide and app MTL. Tue above witneiees were bot ¢ mmtecte: frou Wels Chamberlain 7° Minneapolis, Minn. ee Inatient 185 for revort of snd narolé Oliver, eed * Lens Trewin é 27> Ancicenty =e 20 October 1948 at approx 0550 hours Minneapolis, Minnesota 'vservem, Mewrenoe A, Hansen, 1498 B. Albert St, St Paul Harold Cliver, 2929 13th Ave, South, Minnespolis ccupation and/or hocties: py gasgems teletype operator |: i H, Gliver? Mailman Attention attracts YY 7 pr \ غاغا ذنه 1 (seem at two different locations, in Minneapolis) 6 feet orange flame colered 'lc' pound with tail 1/3 again as long as diameter of object, See attached drawings._. Spat of Bolling sheets of flame From 5,000 to 10,000 feet u/3 --Cctics: Geemed to follew a straight course, in a horisontal attitude _ losing very little altitude, = ¢ m+ i a * South southwest to north northeast. Diseppe-red bDehiad cloud Bemks to the north northeast ov. *-* Boiling sheets of flame ""rence: Behind eloud benk to the north northeast Front of the object seemed blurred as if enveloped in anole - the rest of the main body was a fiery Incident: 1895 Object was sighted fron i3th and Leake Street, Minneapolis & at 7th Street and Uth Ave,, Minneapolis, by Lawrence A. Hansen, teletype operator and Harold Oliver, Maiimen, at epproxinately 0550 hours 20 October 194s, in pattern throughout. The front of §; whereas the rest of fie The tail seemed to be doiling Shects of flame which carried on back at variable dist: meet and broke off dropping vertically for a snort distance and then becoming indistinguishable. Phe object was last seen by both witnesses entering the cloud bank to the north-northeast and Gi sappearing, TsClLIENT 3a ANY yf a = sar ANCLUent io. L156 16 Oct 1948 1145 in the morning Tas ra TM. a, _-: ate and Time of Otservation: 1 mile south and § miles due east of Sterling, Utah Where Sighted: ground - from mountain ridge at 9,000 ft City, control tower, Mr Fred Nash, Utah tion and/or hotbies: Used car dealer and eirplane mechanic inte Church (did missionary work in Hawaii) Member of Letter Day Sa ntlon Attrectcd by: ound of throbbing noise ee ee 20 Hast Crystal, Salt Lake Atte Number of Sbject{>) Seen: l 9 inches long, 6-inches wide and 3 inches thick fCoscet(s): silver and black (silver stripe running dow: the center t i: 5 Las of the underside) See drwe, enape (oxceteh if Foerible) similar to a flat football yi B/S wature of Lominosity. _ + * 4"
