start	end	text
0	7000	Ok, we're recording. State Planet Origin?
7000	9000	Alright.
9000	16000	Ok, yesterday you told us you traveled and I put thousands of like years to get here.
16000	18000	Yes.
18000	22000	Tell us the truth.
22000	31000	We told you that courage will influence your own form and fuel for an other meter.
31000	33000	It is truth.
33000	46000	I fought for alcohol, förvärme i fugen i fugen i fugen i fugen i fugen i fugen i fugen i fugen i fugen i fugen i fugen i fugen.
46000	47000	No.
47000	49000	Sort of human.
49000	55540	Okay, so you evolved from us?
56420	56940	Yes.
57880	59880	So what are you doing here now?
62020	62920	I'm sorry.
64060	64660	I'm sorry.
64660	64820	I'm sorry.
64820	65320	I'm sorry.
65320	66000	I'm sorry.
67060	67420	How?
69560	70540	I'm sorry.
71320	73960	I'm sorry.
73960	74740	I'm sorry.
74740	75460	I'm sorry.
76080	77580	I'm sorry.
79000	84700	Okay, so how about we concentrate on your time?
85660	92060	You know how to prepare if you can plan to observe the stories of more time.
93280	93900	Try a meaning.
96080	98440	You are true of the universe.
99880	102240	You are true of the universe.
102240	103460	You are true of the universe.
103460	104740	You are true of the universe.
104740	106400	Wait, so you know the meaning of life?
107340	108180	You are true of the universe.
109000	110220	You are true of the universe.
110220	111060	What's the difference?
112260	119720	Being something that is ascribed with how it is to observe reality.
121300	124000	So you know how the universe is created?
124820	125340	Yes.
126000	127020	So you think of it?
127840	131580	We fall past any future of the day.
132660	135200	The nature of the universe.
135200	138760	Okay, illuminate him.
148320	156860	You all experienced or have experienced or have experienced a full instant of suicide life.
156860	167700	You, me, you, your interests are the same life, so the way they don't like you all the time.
172320	174400	Okay, so let me get this straight.
175120	178920	There's no death, and we all experience each other's lives, right?
179720	181560	In essence, yes.
181560	188640	Okay, so how was the universe created, and why is it so perfectly made for us?
190860	194400	Yeah, I would be a member of the universe.
195500	203300	Each one of the first and last, the whole world, the whole world, the whole world, the whole world, the whole world, the whole world.
203300	211660	Next, the whole world, the whole world, the whole world, the whole world, the whole world, the whole world, the whole world, the whole world.
212600	218340	Okay, so why do we destroy ourselves with nuclear war?
221000	221820	Thank you.
223420	225240	Can you be more specific, please?
225240	251880	Okay, one last thing.
251880	253460	What about morality?
254280	256340	What are you basing your morality on?
259080	259740	I'm pushing.
260340	261180	I'm pushing.
262080	263240	I'm pushing.
264120	264620	I see.
266100	267220	Okay, that's it.
267280	267640	Thank you.
269380	270460	I don't care about the problem.
270620	271180	I don't care about the problem.
275180	275940	I don't care about the problem.
277120	277860	How do you speak?
278640	279740	Forged a glass there.
279740	282020	Are you scared of them?
283460	284360	Because you should be.
286820	292800	Okay, so you say you're from the future and an evolutionary descendant of humans.
293680	295860	You do also say you're a different species.
296820	298120	So, which one is it?
298440	300640	Are you a descendant of humans or not?
300640	324360	Then how do you do this?
324360	328540	Answer me.
330820	336140	If you don't answer, I'll administer another radioscope homie until your system collapses.
336900	337680	Do you understand?
339980	342180	Now, how do you speak English?
342180	344860	All right.
