start	end	text
500	4320	There was one time I jumped in to a conversation.
4520	6740	It was about the Skinny Bob stuff.
6920	7360	Oh, yeah.
7960	12460	There were people just talking about like, oh, you know, this video is amazing.
12640	15560	And I'm like, are y'all still talking about this video?
16180	17540	It's clearly CGI.
18020	19140	It's like a motherfucker, dude.
19760	24740	I'm here with one of my production heroes, Flying Lotus.
25840	27740	I feel like I can't even categorize you.
27740	31620	I have to call you a creative because you are an amazing director.
31820	32640	You make films.
33580	36060	You're, I think, one of the best hip-hop producers ever.
36680	42840	Well, you come from maybe the most kind of interesting musical family I could think of.
43320	46800	Alice Coltrane is your, what, is your great aunt?
46920	47380	Is that right?
47420	47860	Yeah, yeah, yeah.
47920	48600	She was like Yoda.
48800	50820	You know, she was like a Yoda-type person.
50960	55540	When I play it, it makes me recall Egypt, ancient Egypt.
55540	61820	It makes me seem to remember that I have a past or a history there somewhere.
63660	67380	She just had, she was tapped in for sure to the source.
68300	75800	Maybe this is something that we were, you know, connected to earlier in our development as human beings.
75800	81760	You know, maybe we were closer to God, closer to the source, closer to the stars.
82100	86000	You saw a motherfucking, like, frozen alien or something yourself, right?
86080	86520	Did you see that?
86580	87420	I might have.
87500	87760	Yeah, you saw it.
87760	88240	I might have.
88300	91520	I saw a thing with three fingers and three toes.
91720	93520	I think Spielberg knew some shit.
93520	100220	And then he looked around the room and he said, and there are a number of people in this room who know that everything on that screen is absolutely true.
100320	103960	People would call in and they're like, we're doing time travel stuff at Area 51.
104340	117760	What we're thinking of as aliens, they're extra dimensional beings that an earlier precursor of the space program made contact with.
117760	126280	I'm here with one of my production heroes, Flying Lotus.
127500	129280	I feel like I can't even categorize you.
129340	133140	I have to call you a creative because you are an amazing director.
133340	134180	You make films.
135100	137640	You're, I think, one of the best hip hop producers ever.
138920	142260	And yeah, man, just an all around awesome guy.
142260	148020	And I didn't even know you were interested in UFOs until we started DMing, I think, on Twitter or something.
148340	158460	And it was, that was so surreal to me because I was like, I've been listening to this guy for 15 plus years and he's into the stuff I'm putting out.
158740	159720	What's going on?
159760	165920	It was pretty surreal for me for you to respond the way you did too, because I was just like, you know,
165920	172840	I felt like I was reaching out to a few people just to try to get some info and some insight on, you know, what people knew.
173060	175220	And, and you responded and you're like, whoa.
175360	178200	I was like, whoa, because I've been following you too, you know?
178200	181140	So it was, it was a trip and I'm, you know, I'm really excited to do this.
181260	181820	Same, man.
181860	183660	Well, you were asking amazing questions.
183660	188880	You were like, why can't we just get Lou Elizondo and Kirkpatrick in a room together?
188960	189400	Yeah, why not?
189820	190340	I'm with you.
190520	191920	It was like, why is that so hard?
