start	end	text
0	11620	what's up everybody we have a very special show for you today apparently dreams do come true
11620	18080	i achieved one of mine when i went on the joe rogan experience the episode is live today i don't
18080	23520	really get nervous for anything but i was pretty nervous for this i've been a super fan of joe's
23520	29120	show for the last decade and so it was tough to contain myself and lay low when leading up to the
29120	34560	episode he had been texting me talking about binging our show american alchemy and loving it
34560	40220	joe is a hero of mine i think he's a strong force for good and free thought and he showed a ton of
40220	45100	courage under fire during the pandemic so saying that this was an honor would be a massive
45100	50920	understatement on the show we talk about all sorts of crazy shit from artificial intelligence it
50920	57680	doesn't matter whether agi you know hits some like perfectly turing passable point you're gonna get
57680	62680	this like these weird cult-like dynamics like the meta sociological thing is you're gonna get like
62680	69000	religions dedicated to ai oh for sure oh for sure without a doubt there'll be people worshiping
69000	73920	certain branches of ai to secret science and i think there is technology that is black technology
73920	78560	and science that is black science and then i think there's stuff out in the open and so i think this
78560	83220	has already maybe happened in certain contexts and you know super secret department of energy
83220	86860	facilities which i think it's crazy to say that that hasn't happened you're saying that
86860	91460	it only happened with the manhattan project and it hasn't happened since that's insane there is black
91460	97320	science to exotic propulsion gravity is out here hanging out by itself on an island so you have the
97320	103120	standard model quantum field theory and you have einstein's theory of gravity and the two are not
103120	108880	reconcilable it is my belief that if you were to reconcile them you could create exotic propulsion
108880	116060	to ufos i saw a thing that looked like a fucking school bus it looked like like no visible propulsion
116060	123480	this like sort of low humming noise or whatever it was maybe 50 60 70 feet high like above the tree
123480	129260	right above the treetops those bizarre nasca tridactyl mummies that i flew down to peru to see
129260	136460	what do you think is going on there they break my brain i don't want to be overly sensationalist about
136460	141500	the if it's a hoax it's the best hoax ever and finally the legendary thomas townsend brown
141500	148280	townsend brown's biographer has him on record in a phone call that is recorded saying the tests were
148280	153300	very tricky but in the end we got it to work and he's on his deathbed but before you go and watch
153300	159380	that just wait a second we have a very special episode for you today before going on joe's show
159380	165220	i had already been friends with his producer young jamie jamie is an awesome guy he knows a ton about
