start	end	text
0	5600	People were noticing, all throughout this time, that Forrestal seemed like he was unraveling.
6660	9660	He started developing these weird, nervous tics.
10260	13740	He said, I'm being followed by strange, foreign-looking men.
14740	20040	He started dipping his fingers into glasses of water all the time and just wetting his lips.
20280	22860	I drink only distilled water or rainwater.
23500	25200	I'm glad to see what you're getting at.
25460	29840	A couple of big, tough Navy guys grab him and throw him the hell out the window.
30000	31500	I'm absolutely convinced that's what happened.
34420	41880	And in the 80s, it felt like maybe the U.S. moved from a strategy of secrecy and denial to flood the zone.
42520	45120	And flood the zone doesn't mean put out BS.
45340	47700	It means put out partial truths and put out a lot.
50600	56960	People did see it emerge from the water, circled their transport ship twice, totally silent.
57060	58140	He said there were high winds.
58140	60000	This thing should have been bouncing around in the wind.
60080	61180	It was rock solid.
62180	66760	He writes in his diary at 3.30 a.m. on August 12, 1825.
67340	72380	The Night Watch reported this orange spherical object rise from the ocean.
73960	75980	Let's get down to the fundamental reality here.
76060	77820	We are dealing with a phenomenon.
78300	78600	Yes.
78600	82580	It is a reality-shattering phenomenon.
82800	87820	I do believe that there's a good reason to think that we have been monitored or observed for a long time.
88000	90420	It's not that we're being too crazy and too fringe.
90480	92900	We're not being, we're not going out there enough.
92980	93820	I think that's right.
93820	105760	Here with the great Richard Dolan, we just did this amazing kind of live show for a bunch of people.
105940	106420	It was a lot of fun.
106500	107420	It was a lot of fun.
107420	114120	I told you afterwards, I think you're the easiest person to interview because I just have to tee you off and then you just go.
115760	116900	It's an honor to be here.
117020	118340	It's a long time coming for me.
118340	129680	Maybe what we should start with here in this kind of private setting is I'm curious to know how you got into UFO research to begin with and who your inspirations are.
130520	133820	Yeah, I have a lot of inspirations in my life, some in this field, some beyond.
135140	136820	This is a story I've told a few times.
136900	141520	I don't want to sound like I'm rehashing it, but I want to try to do it fresh.
141520	154080	I was always a very driven young person and I always felt like there was this very intellectualized destiny that I wanted to pursue.
154300	155340	I didn't really know what it would be.
155680	165620	I've always been drawn to history and politics, discovered a real deep love of literature when I was in my early 20s and that's remained with me.
165620	172840	But as a young person trying to make a professional life, I thought, well, I would finish a PhD in history and teach at a university.
173540	180940	When I was in my youngest portion of that, I was totally unqualified to try to do what I ended up doing.
181020	182260	I was studying German history.
183060	185340	My German language was minimal at best.
185340	196200	And here I was studying basically the J. Edgar Hoover of Otto von Bismarck's 19th century Germany back in the 1850s and 60s, a man named Wilhelm Stieber.
196920	198340	And I'm like, oh, this is an interesting guy.
198400	201080	And I'm diving into his career and I thought, I'm going to do a dissertation on him.
201620	205440	I wrote 150 pages or whatever and it failed.
205440	211020	I was unable to crack Wilhelm Stieber.
211120	211820	He's an interesting guy.
211980	213720	He blackmailed people.
213720	216920	He created a brothel in Berlin in 1870.
217100	218520	He would take pictures, all of his stuff.
218600	222740	He literally was the J. Edgar Hoover of German unification.
223100	223360	Absolutely.
223580	223980	Interesting.
224440	225800	And it was amazing.
226240	227780	But anyway, so I bailed out of that.
229660	231440	That was when the Berlin Wall came down.
231540	232300	I was there.
232400	234600	I was in Berlin during that whole period, 1989.
234900	237720	I was trying to wrap this thing up and it just failed.
237720	243460	So I go back to the States and I left for about two years.
243860	247040	I was studying at the University of Rochester in upstate New York.
247420	249840	And then I went back and I thought, you know what?
250220	251460	My German sucked.
251620	253360	So why don't I just do like American history?
253460	254340	Because I know that language.
254340	258280	And I went in and I focused on United States diplomatic history.
258960	259780	And I did great.
259860	261120	I was really, really into it.
261480	262460	I was very deeply.
262600	264180	And by this time I was in my early 30s.
264180	265140	So I was a bit more mature.
265860	269860	And I was studying Harry Truman and his presidency.
269860	271640	And I was doing a lot of Soviet stuff too.
271640	280260	But I ended up studying 1950 national security strategy just before the outbreak of war in Korea.
281280	282320	And, you know, I was like, who cares?
282460	283920	But that was what I was doing at the time.
284120	291080	And I wrote another 125, 150 pages of a dissertation on that, which I did not finish.
291240	292760	So I had two unfinished dissertations.
293880	300020	And I was in a bookstore, just like an ordinary bookstore one day in Syracuse, New York.
300020	304820	And I saw a copy of Timothy Good's very classic work, Above Top Secret.
304940	305240	Oh, yeah.
305380	307760	And it was the subtitle of that book that caught my attention.
307900	309780	It was the Worldwide UFO Cover-Up.
310080	310720	Oh, wow.
311380	311740	So here we are.
311800	312820	It's like 1994.
313600	315040	So I'm about 32 years old.
315360	318420	And I flipped through the book.
318480	320460	And I'm like, I know that name.
320980	321980	I read his diaries.
322500	323360	I know that department.
323600	324440	Wait, what?
324920	325360	UFOs?
325440	326220	What is this?
326720	329480	Like it was this great cognitive dissonance.
330060	333240	And I thought, this looks like a fairly serious book.
333300	334460	He's got a variety of documents.
334720	337320	It looks like his research is at least halfway decent.
339120	341920	And my question wasn't, are UFOs real?
342540	345320	My question wasn't like, are there abductions or are there crop circles?
345640	346600	I wasn't down that road.
346680	352460	My question was simply, even if this was a mistake, like if they were mistakenly interested
352460	358480	in this UFO thing back in, or the flying saucers back in the 40s, how come I never read about
358480	360640	it in any academic history book, like ever?
361360	365480	Even if it was a mistake, like would you not think that's kind of interesting?
365480	373080	You go back to 1947, 48, and I'm reading here in Tim Good's book, like the Air Force and
373080	375240	the Navy, like they were totally into this.
376060	378460	And you're in the early Cold War.
378640	379880	Yeah, that's damned interesting.
380460	384000	And so I thought, well, I bought the book and I just went down that rabbit hole.
384060	386500	And I thought, I'm going to just spend like two or three months.
386500	391740	And I just want to resolve for myself, like, was this a thing or not a thing?
391780	392260	And that was it.
392300	395820	And then I figured like I would just leave and go on to my life.
396300	398040	And those are my favorite, famous last words.
398180	402420	So I read Tim's book and it was like, this is a very good book.
402580	406420	Started going online, back with the baby internet as it existed.
406520	408240	All the news groups, you suck.
408320	408940	No, you suck.
409000	409760	I'm going to kill you.
410020	412460	You know, the bulletin boards as they existed in the 90s.
412460	415000	But there were some good UFO bulletin boards.
415000	416360	And I went down that.
417020	420060	And the next thing I knew, I just, I left.
420140	421840	I left the University of Rochester.
422980	429680	And it was a real crisis in my life because I'm in my early 30s.
429740	430880	I'm like, I've got all this ambition.
431020	431940	I wanted to do something.
432000	433180	I wanted to teach at a university.
433500	435420	But I just lost the belief.
436140	437740	I lost the belief in that whole system.
438020	439560	I lost the belief in academia.
439560	444260	I lost the belief that I wanted to do that anymore.
444260	448860	And I was totally obsessed with UFOs.
448980	453740	I would remember for an entire year, I'd lie in bed, staring at the ceiling, thinking
453740	455580	all of these if-thens.
455760	462440	Like, if this is real, then was I totally wrong about everything I thought I knew about history?
463060	467220	What is the truth then about the Truman administration that I was studying?
467280	468400	Or Eisenhower or Kennedy?
468400	475800	Like, there had to be this whole subterranean reality that I was oblivious to.
475960	480320	And when you think you're a smart person and you think you're well-educated, that's the
480320	483780	hardest because you want to, like, you've got your ego there.
483920	484800	I had my ego.
485200	486220	Like, absolutely.
486500	488820	I want to be like, I'm a smart guy.
489080	490100	I think I know everything.
490220	491140	But wait, oh, wow.
491220	492540	I missed this whole thing.
492540	494600	That's not easy to admit.
495080	499360	No, it's not when your identity is so tied up in the system.
499580	505260	The system's giving you positive feedback until that point to just accept, you know, that
505260	508920	sort of crumbling and finding something new, I think, is really tough.
509000	509400	But you do.
509500	513260	You read something like Timothy Good's, you know, Above Top Secret.
513260	518840	And you're like, this is a whole ontology separate from, you know, the reality that I know.
519060	520600	And it's so well-researched.
520740	525380	And it, you know, if you associate, you know, psyops around UFOs with, like, you know, American
525380	527840	intel, like he's coming up from British Ministry of Defense.
527920	531940	He starts with the Battle of Los Angeles, but he goes through, like, really the UK history.
533080	533300	And...
533300	535160	I'm impressed that you just can roll right through that.
535220	537120	I mean, I just tossed Tim Good out there.
537320	538340	And you're like, yeah, yeah.
538580	539440	Well, he's amazing.
539440	543540	I mean, you got to, you know, like, you got to pay respects to your stuff.
543640	544320	You got to pay respects.
544440	548980	You got to know that these are canonical, I think, you know, works.
549620	552560	Today's episode is sponsored by Incogni.
552900	558020	You ever Google yourself and realize how much of your personal info is just out there?
558120	562980	Your address, your phone number, old jobs, even your relatives, all online for anyone to see?
563140	567280	There are these companies called data brokers, and they make a living collecting and selling
567280	569840	that information without you ever knowing it.
569920	573120	They sell it to marketers, recruiters, even risk assessment firms.
573320	576740	Worst case, it ends up in the hands of scammers or identity thieves.
576880	579060	That's why I started using Incogni.
579160	585240	It's a service that automatically contacts over 230 data brokers and demands they delete
585240	586140	your personal data.
586140	591960	And if your info ends up online again, Incogni keeps going, resubmitting removals on your behalf.
592160	594440	I didn't have to do anything after signing up.
594520	595980	It's just set it and forget it.
595980	597680	I also learned something wild.
597960	601240	In the U.S., people search sites are a separate problem.
601420	606360	They publish these creepy dossiers on you, property records, family info, even political
606360	607120	affiliations.
607360	610860	Incogni has a custom removals feature that targets those too.
610860	615880	So if you care about privacy, which if you're watching this show, you probably do, give it
615880	616420	a try.
616620	623240	Go to incogni.com slash AmericanAlchemy and use my code to get 60% off an annual plan.
623380	625940	Thank you to Incogni for sponsoring this episode.
625980	635420	In UFOs and the National Security State, you bring up this idea of a breakaway civilization.
635420	641820	And you have Catherine Austin Fitz, this former housing and urban development employee, who
641820	646400	then went on to be a consultant, who's uncovered trillions of dollars worth of fraud.
646800	648080	Discrepancies in accounting, yeah.
648600	649560	Discrepancies in accounting.
650680	651380	Yeah, there you go.
651420	652220	That's a nice euphemism.
652940	658900	So what is a breakaway civilization and what is the nature of the contact that we're seeing?
659060	662780	Yeah, I haven't really thought, I haven't talked a lot about the idea of a breakaway
662780	665720	civilization in a little while, but I still think it's probably true.
666380	672500	And just to give a background, it was a phrase that I coined, I don't know, about almost 20
672500	673100	years ago now.
673760	678640	I do a lot of reading of other types of historians and I was reading a story named Arnold Toynbee.
678800	679560	Some of you know of him.
679620	681560	He writes meta histories of civilizations.
681840	685160	And I was kind of in that headspace and I thought, you know, what is it that actually
685160	687800	makes a civilization distinctive and unique?
687800	689860	And I thought, well, there's a lot of things.
689920	694140	There's like your social structure and your economy and your ideology, your cosmology.
694720	698540	And I thought, you know, if you really think about the classified world, especially like
698540	703540	assuming like the Roswell event or other crash retrievals happened, you have this very, very
703540	709520	deep classified structure that keeps the technology and the science classified away from you and
709520	711760	away from me so that we can't really look at it.
712540	715840	And I thought, well, what do they do with those breakthroughs in their technology?
715840	720940	Well, they're going to learn new things and they're going to privately maybe patent them
720940	722720	and keep them away from the rest of us.
722800	725440	And they're just in danger of running more and more away from this.
725700	727620	Will they have functional flying saucers one day?
727680	728720	Can they go off world?
729020	731740	Can they encounter other beings and all of this?
732060	735780	And I thought, well, they're really actually kind of like a separate civilization when it's
735780	737360	broken away from our own.
737840	740100	And it was a totally theoretical idea.
740220	741080	It still is, I guess.
741180	744980	But I think there's evidence for it in a lot of different ways.
744980	746540	And so that's what I was talking about.
746620	753220	And I think it's a kind of a breakaway group that has its own legal protections and all
753220	753500	of that.
754300	756880	So I've known Catherine Austin Fitz for many years.
757180	759160	I absolutely admire her work.
759260	762620	She's a brilliant financial expert, you could say.
762760	763080	She did.
763800	769460	She served with the first George Bush senior administration back in the late 80s, early 90s
769460	772120	as assistant secretary of housing and urban development.
773280	774720	She told a story.
774840	778100	It should be funny, but it's actually really tragic.
778240	782040	She said, when I went into HUD, I said, I want to look at the accounting.
782140	782900	I want to look at all the books.
782980	785800	And they said, well, no, you're not authorized to see that.
786540	788320	She says, hell, I'm not authorized to see that.
788780	789880	So she finally got her way.
789960	793780	And she said, what happened when they brought in the financial records?
793780	797040	She said, you know, the old library carts with all the books on them, she said, they
797040	804420	wheeled in one after another filled, stacked with papers, like organized, disorganized.
804660	808980	And she's like, God could not pull this apart.
809340	814560	She said, you'd need the greatest accountants in the world to undo this god awful mess.
815200	819980	And she concluded, like, this whole system is designed so that it is impossible to audit.
820560	821940	And that was her start.
821940	824080	And then she goes through four years of that.
824160	830500	And she had her own amazing tumultuous journey dealing with analyzing U.S. government.
831020	836120	And then eventually looking into, she wrote a really great paper called The Myth of the
836120	836720	Rule of Law.
836900	837940	I highly recommend it.
838680	843660	And then she told a really interesting story about, I think, in 1998, she was invited by
843660	847120	a gentleman named John Peterson of the Arlington Institute.
847120	852660	John Peterson was on many, many short lists for DOD Secretary of Defense position for years.
853280	854640	And she wrote about this.
854720	861880	And he said, we're doing a little get-together of a mini-conference to discuss what it would
861880	865500	be like in a world where extraterrestrials are openly acknowledged as living among us.
865500	870960	And she said, the biggest regret in my life was not doing that.
871160	871920	She was afraid.
