start	end	text
0	3000	ARE THOSE FIREWORKS?
3000	7000	WHAT IS THAT?
7000	8000	ALIENS?
8000	9000	I DON'T KNOW.
9000	11000	WHAT THE HECK IS THAT?
11000	13000	YOU SEE IT, RIGHT?
13000	14000	I'M ACTUALLY, YES.
14000	15000	I DO SEE IT.
15000	16000	IT'S GETTING WEIRDER BY THE
16000	17000	SECOND.
17000	18000	I KNOW.
18000	19000	IT'S LIKE THEY'RE STICKING
19000	20000	AROUND.
20000	22000	WE'RE GOING TO DO SOME
22000	23000	DIGGING AND FIGURE OUT WHAT
23000	24000	THAT IS.
24000	25000	BACK IN A MOMENT.
25000	27000	ARE WE ROLLING ON THAT?
27000	28000	WHAT DO YOU THINK THAT WAS?
28000	30000	WHAT DO YOU THINK THAT WAS?
30000	31000	WHAT'S THAT?
