start	end	text
0	4780	In modern times, we've gotten used to the images of dystopian societies in fiction,
5140	9080	from a world where babies are no longer being born and children of men,
9580	14840	to the use of human-like artificial intelligence as slaves in a dying world like Blade Runner,
14980	20620	or the very bleak future of The Matrix, where our entire reality is a managed simulation,
20920	25420	keeping us docile, just so that our bodies can be used for energy.
25660	28840	There is an acceptance of the dystopia they survive in.
28840	32860	Like the proverbial frog sat in slowly boiling water.
33200	39240	And one only need to shift their perspective slightly to realize that the world we are currently living in
39240	42920	shares many characteristics of these dystopias.
43340	47680	Or at the very least, there exist some extremely worrying trends.
47920	51160	Trends that might produce a future where food makes you sick,
51380	54000	going to the doctor can bankrupt your entire family,
54600	57880	social interactions have been reduced into likes and upvotes,
57880	61760	and you can barely even tell if the person responding to you is AI.
62440	66540	We live in a society where panels of self-appointed quote-unquote experts
66540	70140	decide what you're allowed to hear, think, and remember.
70700	72760	We're told what's real and what isn't,
72920	75640	and anything that doesn't fit the script is dismissed.
76320	79020	These things are treated not as mysteries to be explored,
79260	81920	but as distractions, a punchline of a joke.
81980	83420	Don't get him too close to me, please.
83420	87300	It seems clear that a system has been put in place to deceive us,
87680	90960	and this does not end at the limits of what you can see in the sky.
91600	95980	This deception reaches down into the fundamental building blocks of your body,
96140	98220	what you eat, why you get sick,
98580	101660	and how that disease and treatment is commodified.
101660	105940	It's not a wildly outlandish claim to suggest that a blanket,
106260	109700	similar to the one that has hidden truths about UFOs,
110100	113780	non-human intelligences, and physics-redefining technologies,
114200	117600	has also been used to disguise the truth about health.
117720	123040	Following this trail leads through many of the same avenues as the hidden history of UFOs.
123120	126700	The alliance between secret government programs and big business,
126700	129540	classified breakthroughs in science and medicine,
129920	132080	and the code that we have been written on,
132200	134900	our DNA, having cosmic significance.
135300	137760	And there is a conspiracy keeping us poisoned,
138120	140160	low energy, lonely, and tired,
140580	143580	too sick to look up and ask what we are doing here.
144220	145300	But is there a way out?
145600	148960	The long road to the dystopian health system we now live in,
149120	150620	and how it has become enforced,
151120	153760	started at the beginning of the 20th century,
153760	156540	when the entire landscape was transformed,
157100	158320	almost single-handedly,
158620	160760	and to serve big business interests.
161080	162320	John D. Rockefeller,
162540	165720	already the richest man on Earth thanks to Standard Oil,
165980	167040	now ExxonMobil,
167480	171580	had a vision to monopolize medicine in the same way that he had oil.
172260	173760	Petrochemicals were on the rise,
173940	177720	and synthetic pharmaceuticals that included products derived from oil
177720	181140	were a way to patent and own treatments in medicine.
181140	184020	It also meant stamping out competition,
184420	189120	most notably of natural medicine and therapies that could eat into profits.
189420	193960	In 1910, with backing from Rockefeller and fellow titan Andrew Carnegie,
194540	196540	the Flexner Report was released.
196940	198560	Written by Abraham Flexner,
198880	201560	it condemned most of America's medical schools,
201680	204980	especially those teaching anything other than drug-based,
205400	206760	symptom-focused treatment.
206760	211020	Over half the medical schools in the United States shut down.
211300	212820	The rest were brought in line,
213120	216480	and the American Medical Association became the enforcer.
216600	219060	Well, you know who set up the FDA and the AMA,
219340	221080	the American Medical Association and the FDA,
221480	223480	set up by Abraham Flexner,
223580	225860	who was working on behalf of the Rockefeller Foundation,
226040	227880	1908, and the Rockefellers.
228180	229780	And so it is fascinating,
230160	232060	because if you also look at, you know,
232120	233980	who formed kind of the quote-unquote,
234100	235940	you know, everybody talks about the deep state or whatever,
235940	240640	but the investment firm that funded the CIA basically formed it.
240700	241920	A lot of the personnel came out of it
241920	243040	was called the Brown Brothers Harriman.
243140	244780	The same people were on the cap table of that.
245060	248280	Same people were on the cap table of the Federal Reserve
248280	251000	in the 1913 Payne-Aldrich Act.
251300	252100	It's the same people.
252380	255300	This was the start of what we now call Big Pharma.
255580	257500	And the people running this new empire
257500	261200	made sure that only one kind of treatment was allowed to exist.
261200	265660	Before this, 20 to 30% of doctors in the United States
265660	268160	were osteopaths, homeopaths,
268500	270960	people that worked with unconventional modalities
270960	272480	to heal the human body.
272640	275240	In certain cases, these modalities were snake oil.
275360	276740	But in others, they worked.
277000	278260	They just couldn't scale.
278440	279900	But it was never about health.
280160	281660	It was about big business.
281860	283280	And it was about control.
283780	286300	A system of sick care, not health care.
286660	289920	A system designed to turn your illness into profit.
289920	292120	I sat down with health care entrepreneur
292120	295700	and founder of Ways2Well, my good friend, Brigham Bueller,
295880	297740	to talk about the corporate capture
297740	299600	of the American health care system.
299700	302060	There's just so much corruption, collusion,
302240	303900	and corporate capture, and it's all real.
304300	305040	It's all real.
305140	306000	Like, I've lived it.
306100	308300	I've been behind the scenes in the medical establishment.
308680	311160	I've literally played a million roles in this space.
311560	313440	And that's the only reason I have the knowledge I have
313440	315040	of, like, where the traps are
315040	317640	and where it is set up to set people up for failure.
317640	319900	What began as a hostile takeover
319900	321760	of natural and holistic medicine
321760	324800	by a small group of ultra-wealthy industrialists
324800	327940	became the blueprint of how health could be defined,
328440	330920	diagnosed, and treated for the next century.
331060	332740	As sickness became valuable
332740	334840	and the dehumanization of medicine
334840	336580	became a disturbing norm,
336800	338740	the Second World War brought with it
338740	342120	a wholesale reframing of the human body itself.
342420	344320	Humans were turned into experiments,
344460	345820	very valuable experiments.
345820	348180	In the lead-up to the Second World War,
348580	352440	once Imperial Japan had invaded mainland China and Korea,
352840	355940	these occupied territories became the field operations
355940	358220	of some of the darkest experiments
358220	360860	conducted on humans in the 20th century.
